,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000003402,2546.614197,-1.190432416,0.120621217,-9.86917925,5.66E-23,4.81E-21
ENSG00000003987,25.50431871,-1.004804853,0.37265646,-2.696330165,0.007010814,0.034561106
ENSG00000004799,914.3790141,-2.644927284,0.628564617,-4.207884462,2.58E-05,0.000263147
ENSG00000004846,17.99916807,1.697835882,0.557865593,3.043449721,0.002338825,0.013794093
ENSG00000005471,33.66398824,1.120053429,0.357469028,3.133288034,0.001728597,0.010626361
ENSG00000006283,62.96025142,1.46690803,0.286728811,5.11601197,3.12E-07,4.68E-06
ENSG00000006788,10.25338008,-3.206851471,0.905077974,-3.543177011,0.000395337,0.002974191
ENSG00000007237,427.0132188,1.404850952,0.190099678,7.390075402,1.47E-13,5.17E-12
ENSG00000008256,3716.577382,-1.183401168,0.103230381,-11.46369076,2.01E-30,2.74E-28
ENSG00000008311,721.9420892,-1.095706245,0.107933419,-10.15168661,3.26E-24,3.10E-22
ENSG00000009413,7584.980977,-1.095560449,0.126065621,-8.690398206,3.61E-18,2.00E-16
ENSG00000011198,1159.403799,-1.125044857,0.176903618,-6.359648663,2.02E-10,4.83E-09
ENSG00000012048,221.1116043,1.21040432,0.170006643,7.119747216,1.08E-12,3.40E-11
ENSG00000013293,244.4973262,2.882906887,0.218489977,13.19468711,9.41E-40,1.93E-37
ENSG00000013297,3431.572643,1.774338802,0.172997913,10.25641739,1.11E-24,1.10E-22
ENSG00000015520,17.51282449,2.822846661,0.613510371,4.601139273,4.20E-06,5.11E-05
ENSG00000016391,92.11144138,2.007416433,0.263839921,7.608463596,2.77E-14,1.04E-12
ENSG00000017483,445.7874716,1.005592383,0.198509879,5.065704482,4.07E-07,5.97E-06
ENSG00000019186,14.08760493,4.325905907,0.857766868,5.043218697,4.58E-07,6.61E-06
ENSG00000020577,3105.005556,-1.203307976,0.092472011,-13.01267236,1.04E-38,2.03E-36
ENSG00000021645,35.95873209,-1.91054488,0.427639553,-4.467652416,7.91E-06,9.08E-05
ENSG00000023909,1927.71101,-1.222035054,0.117058861,-10.43949213,1.64E-25,1.75E-23
ENSG00000025423,169.2040982,1.992903759,0.242715101,8.210876661,2.20E-16,1.01E-14
ENSG00000025708,144.6965325,-1.231042026,0.199332494,-6.175822105,6.58E-10,1.49E-08
ENSG00000027075,80.80860564,-1.068891716,0.267525658,-3.995473647,6.46E-05,0.000597807
ENSG00000028277,34.4574837,2.090836218,0.374446522,5.583804615,2.35E-08,4.30E-07
ENSG00000035664,633.0429027,-1.683650605,0.161143176,-10.44816573,1.49E-25,1.60E-23
ENSG00000039537,22.95197177,-1.868005668,0.484906496,-3.852300772,0.000117013,0.001016069
